Name	Date	Duration
Shower	1		4
Toliet	1		6
Tap	    1		8
Shower	2		5
Toliet	2		9
Tap		  2		3
Shower	3		9
Toliet	3		6
Tap		  3		5
Shower	4		26
Toliet	4		9
Tap		  4		3
Shower	5		15
Toliet	5		3
Tap		  5		4
Shower	6		6
Toliet	6		5
Tap		  6		3
Shower	7		13
Toliet	7		8
Tap		  7		2
Toliet	8 		6
Tap		  8		4
Shower	9		1
Toliet	9		5
Tap		  9		2
Shower	10		9
Toliet	10		6
Tap		  10		3
Toliet	11		9
Tap		  11		1
Shower	12		21
Toliet	12		13
Tap		  12		6
Shower	13		16
Toliet	13		11
Tap 		13		2
Shower	14		15
Toliet	14		7
Tap 		14		3
Shower	15		2
Toliet	15		9
Tap 		15		1
Shower	16		12
Toliet	16		16
Tap	  	16		2
Shower	17		16
Toliet	17		10
Tap		  17		5
Shower	18		10
Toliet	18		6
Tap 		18		5
Shower	19		11
Toliet	19		2
Tap	  	19		4
Shower	20		9
Toliet	20		9
Tap		  20		3
Shower	21		16
Toliet	21		15
Tap 		21		5
Shower	22		2
Toliet	22		12
Tap	  	22		8
Shower	23		4
Toliet	23		21
Tap		  23		5
Shower	24		13
Toliet	24		6
Tap 		24		5
Shower	25		18
Toliet	25		8
Tap	  	25		5
Shower	26		10
Toliet	26		4
Tap		  26		8
Shower	27		15
Toliet	27		2
Tap		  27		5
Shower	28		5
Toliet	28		9
Tap	  	28		2
Shower	29		12
Toliet	29		4
Tap		  29		1
Toliet	30		14
Tap		  30		7
